127.0.0.1 - - [05/Jan/2015:00:13:03 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/ HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/css%20files/slider.css HTTP/1.1" 200 2740
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/js%20files/slider.js HTTP/1.1" 200 15282
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC02654-qpr.jpg HTTP/1.1" 200 77814
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC01672-qpr.jpg HTTP/1.1" 200 198312
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC02647-qpr.jpg HTTP/1.1" 200 130388
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC00619-qpr.jpg HTTP/1.1" 200 96450
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC00779-qpr.jpg HTTP/1.1" 200 55305
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC00792-qpr.jpg HTTP/1.1" 200 118435
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC00780-qpr.jpg HTTP/1.1" 200 82286
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC00804-qpr.jpg HTTP/1.1" 200 102177
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC01215-qpr.jpg HTTP/1.1" 200 67726
0:0:0:0:0:0:0:1 - - [05/Jan/2015:00:13:05 +0530] "GET /vision/user/images/slider/DSC00834-qpr.jpg HTTP/1.1" 200 67695
